"Step","CartPole_env_reward_99_MIDI3_tmux1 - global_step","CartPole_env_reward_99_MIDI3_tmux1 - global_step__MIN","CartPole_env_reward_99_MIDI3_tmux1 - global_step__MAX","CartPole_env_reward_20240422_232316 - global_step","CartPole_env_reward_20240422_232316 - global_step__MIN","CartPole_env_reward_20240422_232316 - global_step__MAX"
"340","2182400","2182400","2182400","2182400","2182400","2182400"
"341","2188800","2188800","2188800","2188800","2188800","2188800"
"342","2195200","2195200","2195200","2195200","2195200","2195200"
"343","2201600","2201600","2201600","2201600","2201600","2201600"
"344","2208000","2208000","2208000","2208000","2208000","2208000"
"345","2214400","2214400","2214400","2214400","2214400","2214400"
"346","2220800","2220800","2220800","2220800","2220800","2220800"
"347","2227200","2227200","2227200","2227200","2227200","2227200"
"348","2233600","2233600","2233600","2233600","2233600","2233600"
"349","2240000","2240000","2240000","2240000","2240000","2240000"
"350","2246400","2246400","2246400","2246400","2246400","2246400"
"351","2252800","2252800","2252800","2252800","2252800","2252800"
"352","2259200","2259200","2259200","2259200","2259200","2259200"
"353","2265600","2265600","2265600","2265600","2265600","2265600"
"354","2272000","2272000","2272000","2272000","2272000","2272000"
"355","2278400","2278400","2278400","2278400","2278400","2278400"
"356","2284800","2284800","2284800","2284800","2284800","2284800"
"357","2291200","2291200","2291200","2291200","2291200","2291200"
"358","2297600","2297600","2297600","2297600","2297600","2297600"
"359","2304000","2304000","2304000","2304000","2304000","2304000"
"360","2310400","2310400","2310400","2310400","2310400","2310400"
"361","2316800","2316800","2316800","2316800","2316800","2316800"
"362","2323200","2323200","2323200","2323200","2323200","2323200"
"363","2329600","2329600","2329600","2329600","2329600","2329600"
"364","2336000","2336000","2336000","2336000","2336000","2336000"
"365","2342400","2342400","2342400","2342400","2342400","2342400"
"366","2348800","2348800","2348800","2348800","2348800","2348800"
"367","2355200","2355200","2355200","2355200","2355200","2355200"
"368","2361600","2361600","2361600","2361600","2361600","2361600"
"369","2368000","2368000","2368000","2368000","2368000","2368000"
"370","2374400","2374400","2374400","2374400","2374400","2374400"
"371","2380800","2380800","2380800","2380800","2380800","2380800"
"372","2387200","2387200","2387200","2387200","2387200","2387200"
"373","2393600","2393600","2393600","2393600","2393600","2393600"
"374","2400000","2400000","2400000","2400000","2400000","2400000"
"375","2406400","2406400","2406400","2406400","2406400","2406400"
"376","2412800","2412800","2412800","2412800","2412800","2412800"
"377","2419200","2419200","2419200","2419200","2419200","2419200"
"378","2425600","2425600","2425600","2425600","2425600","2425600"
"379","2432000","2432000","2432000","2432000","2432000","2432000"
"380","2438400","2438400","2438400","2438400","2438400","2438400"
"381","2444800","2444800","2444800","2444800","2444800","2444800"
"382","2451200","2451200","2451200","2451200","2451200","2451200"
"383","2457600","2457600","2457600","2457600","2457600","2457600"
"384","2464000","2464000","2464000","2464000","2464000","2464000"
"385","2470400","2470400","2470400","2470400","2470400","2470400"
"386","2476800","2476800","2476800","2476800","2476800","2476800"
"387","2483200","2483200","2483200","2483200","2483200","2483200"
"388","2489600","2489600","2489600","2489600","2489600","2489600"
"389","2496000","2496000","2496000","2496000","2496000","2496000"
"390","2502400","2502400","2502400","2502400","2502400","2502400"
"391","2508800","2508800","2508800","2508800","2508800","2508800"
"392","2515200","2515200","2515200","2515200","2515200","2515200"
"393","2521600","2521600","2521600","2521600","2521600","2521600"
"394","2528000","2528000","2528000","2528000","2528000","2528000"
"395","2534400","2534400","2534400","2534400","2534400","2534400"
"396","2540800","2540800","2540800","2540800","2540800","2540800"
"397","2547200","2547200","2547200","2547200","2547200","2547200"
"398","2553600","2553600","2553600","2553600","2553600","2553600"
"399","2560000","2560000","2560000","2560000","2560000","2560000"
"400","2566400","2566400","2566400","2566400","2566400","2566400"
"401","2572800","2572800","2572800","2572800","2572800","2572800"
"402","2579200","2579200","2579200","2579200","2579200","2579200"
"403","2585600","2585600","2585600","2585600","2585600","2585600"
"404","2592000","2592000","2592000","2592000","2592000","2592000"
"405","2598400","2598400","2598400","2598400","2598400","2598400"
"406","2604800","2604800","2604800","2604800","2604800","2604800"
"407","2611200","2611200","2611200","2611200","2611200","2611200"
"408","2617600","2617600","2617600","2617600","2617600","2617600"
"409","2624000","2624000","2624000","2624000","2624000","2624000"
"410","2630400","2630400","2630400","2630400","2630400","2630400"
