"Step","CartPole_laion2b_s34b_b79k_contrastive_20240425_052240 - rollout/ep_clip_rew_mean","CartPole_laion2b_s34b_b79k_contrastive_20240425_052240 - rollout/ep_clip_rew_mean__MIN","CartPole_laion2b_s34b_b79k_contrastive_20240425_052240 - rollout/ep_clip_rew_mean__MAX","CartPole_laion2b_s34b_b79k_goal_baseline_reg_20240425_051828 - rollout/ep_clip_rew_mean","CartPole_laion2b_s34b_b79k_goal_baseline_reg_20240425_051828 - rollout/ep_clip_rew_mean__MIN","CartPole_laion2b_s34b_b79k_goal_baseline_reg_20240425_051828 - rollout/ep_clip_rew_mean__MAX","CartPole_laion2b_s34b_b79k_cosine_20240425_051521 - rollout/ep_clip_rew_mean","CartPole_laion2b_s34b_b79k_cosine_20240425_051521 - rollout/ep_clip_rew_mean__MIN","CartPole_laion2b_s34b_b79k_cosine_20240425_051521 - rollout/ep_clip_rew_mean__MAX","CartPole_CLIPViT_contrastive_20240423_092934 - rollout/ep_clip_rew_mean","CartPole_CLIPViT_contrastive_20240423_092934 - rollout/ep_clip_rew_mean__MIN","CartPole_CLIPViT_contrastive_20240423_092934 - rollout/ep_clip_rew_mean__MAX","CartPole_3mill_CLIP_1.0alpha_goal_baseline_reg_20240421_084411 - rollout/ep_clip_rew_mean","CartPole_3mill_CLIP_1.0alpha_goal_baseline_reg_20240421_084411 - rollout/ep_clip_rew_mean__MIN","CartPole_3mill_CLIP_1.0alpha_goal_baseline_reg_20240421_084411 - rollout/ep_clip_rew_mean__MAX","CartPole_3mill_CLIP_cosine_20240420_091709 - rollout/ep_clip_rew_mean","CartPole_3mill_CLIP_cosine_20240420_091709 - rollout/ep_clip_rew_mean__MIN","CartPole_3mill_CLIP_cosine_20240420_091709 - rollout/ep_clip_rew_mean__MAX"
"42","-5.978256702423096","-5.978256702423096","-5.978256702423096","188.7562255859375","188.7562255859375","188.7562255859375","48.40595626831055","48.40595626831055","48.40595626831055","42.79791259765625","42.79791259765625","42.79791259765625","188.8006134033203","188.8006134033203","188.8006134033203","51.09989547729492","51.09989547729492","51.09989547729492"
"43","-5.891518592834473","-5.891518592834473","-5.891518592834473","188.75271606445312","188.75271606445312","188.75271606445312","48.42650604248047","48.42650604248047","48.42650604248047","42.83195114135742","42.83195114135742","42.83195114135742","188.79937744140625","188.79937744140625","188.79937744140625","51.28929901123047","51.28929901123047","51.28929901123047"
"44","-5.852128982543945","-5.852128982543945","-5.852128982543945","188.74957275390625","188.74957275390625","188.74957275390625","48.427207946777344","48.427207946777344","48.427207946777344","42.88092803955078","42.88092803955078","42.88092803955078","188.793701171875","188.793701171875","188.793701171875","51.19318771362305","51.19318771362305","51.19318771362305"
"45","-5.808677673339844","-5.808677673339844","-5.808677673339844","188.7501983642578","188.7501983642578","188.7501983642578","48.43783950805664","48.43783950805664","48.43783950805664","42.96337127685547","42.96337127685547","42.96337127685547","188.7947235107422","188.7947235107422","188.7947235107422","51.231529235839844","51.231529235839844","51.231529235839844"
"46","-5.7555155754089355","-5.7555155754089355","-5.7555155754089355","188.74778747558594","188.74778747558594","188.74778747558594","48.41379928588867","48.41379928588867","48.41379928588867","42.96305465698242","42.96305465698242","42.96305465698242","188.79373168945312","188.79373168945312","188.79373168945312","51.343101501464844","51.343101501464844","51.343101501464844"
"47","-5.733590126037598","-5.733590126037598","-5.733590126037598","188.74266052246094","188.74266052246094","188.74266052246094","48.369110107421875","48.369110107421875","48.369110107421875","42.97004318237305","42.97004318237305","42.97004318237305","188.78822326660156","188.78822326660156","188.78822326660156","51.42876434326172","51.42876434326172","51.42876434326172"
"48","-5.645597457885742","-5.645597457885742","-5.645597457885742","188.74024963378906","188.74024963378906","188.74024963378906","48.40627670288086","48.40627670288086","48.40627670288086","42.912322998046875","42.912322998046875","42.912322998046875","188.78836059570312","188.78836059570312","188.78836059570312","51.62870407104492","51.62870407104492","51.62870407104492"
"49","-5.596201419830322","-5.596201419830322","-5.596201419830322","188.7401885986328","188.7401885986328","188.7401885986328","48.45030212402344","48.45030212402344","48.45030212402344","42.88766098022461","42.88766098022461","42.88766098022461","188.7935028076172","188.7935028076172","188.7935028076172","51.863651275634766","51.863651275634766","51.863651275634766"
"50","-5.5615034103393555","-5.5615034103393555","-5.5615034103393555","188.74160766601562","188.74160766601562","188.74160766601562","48.501914978027344","48.501914978027344","48.501914978027344","42.93663787841797","42.93663787841797","42.93663787841797","188.7952117919922","188.7952117919922","188.7952117919922","51.97873306274414","51.97873306274414","51.97873306274414"
"51","-5.515527248382568","-5.515527248382568","-5.515527248382568","188.74208068847656","188.74208068847656","188.74208068847656","48.5623779296875","48.5623779296875","48.5623779296875","42.87251663208008","42.87251663208008","42.87251663208008","188.7970428466797","188.7970428466797","188.7970428466797","52.11528778076172","52.11528778076172","52.11528778076172"
"52","-5.460078239440918","-5.460078239440918","-5.460078239440918","188.7413330078125","188.7413330078125","188.7413330078125","48.61992263793945","48.61992263793945","48.61992263793945","43.070621490478516","43.070621490478516","43.070621490478516","188.7945098876953","188.7945098876953","188.7945098876953","52.227134704589844","52.227134704589844","52.227134704589844"
"53","-5.401140213012695","-5.401140213012695","-5.401140213012695","188.7421875","188.7421875","188.7421875","48.631370544433594","48.631370544433594","48.631370544433594","43.32164764404297","43.32164764404297","43.32164764404297","188.79627990722656","188.79627990722656","188.79627990722656","52.31108093261719","52.31108093261719","52.31108093261719"
"54","-5.311666965484619","-5.311666965484619","-5.311666965484619","188.74111938476562","188.74111938476562","188.74111938476562","48.65439987182617","48.65439987182617","48.65439987182617","43.354129791259766","43.354129791259766","43.354129791259766","188.795166015625","188.795166015625","188.795166015625","52.377044677734375","52.377044677734375","52.377044677734375"
"55","-5.201392650604248","-5.201392650604248","-5.201392650604248","188.74179077148438","188.74179077148438","188.74179077148438","48.71132278442383","48.71132278442383","48.71132278442383","43.52479553222656","43.52479553222656","43.52479553222656","188.79473876953125","188.79473876953125","188.79473876953125","52.449241638183594","52.449241638183594","52.449241638183594"
"56","-5.111382007598877","-5.111382007598877","-5.111382007598877","188.7404022216797","188.7404022216797","188.7404022216797","48.730140686035156","48.730140686035156","48.730140686035156","43.49961471557617","43.49961471557617","43.49961471557617","188.78228759765625","188.78228759765625","188.78228759765625","52.44672393798828","52.44672393798828","52.44672393798828"
"57","-5.033453941345215","-5.033453941345215","-5.033453941345215","188.73939514160156","188.73939514160156","188.73939514160156","48.755821228027344","48.755821228027344","48.755821228027344","43.424354553222656","43.424354553222656","43.424354553222656","188.7825469970703","188.7825469970703","188.7825469970703","52.53508377075195","52.53508377075195","52.53508377075195"
"58","-4.95336389541626","-4.95336389541626","-4.95336389541626","188.73922729492188","188.73922729492188","188.73922729492188","48.812320709228516","48.812320709228516","48.812320709228516","43.446556091308594","43.446556091308594","43.446556091308594","188.77825927734375","188.77825927734375","188.77825927734375","52.63722229003906","52.63722229003906","52.63722229003906"
"59","-4.901148796081543","-4.901148796081543","-4.901148796081543","188.73829650878906","188.73829650878906","188.73829650878906","48.823974609375","48.823974609375","48.823974609375","43.472686767578125","43.472686767578125","43.472686767578125","188.7784881591797","188.7784881591797","188.7784881591797","52.78022384643555","52.78022384643555","52.78022384643555"
"60","-4.826897621154785","-4.826897621154785","-4.826897621154785","188.73983764648438","188.73983764648438","188.73983764648438","48.91550064086914","48.91550064086914","48.91550064086914","43.746849060058594","43.746849060058594","43.746849060058594","188.77972412109375","188.77972412109375","188.77972412109375","52.91021728515625","52.91021728515625","52.91021728515625"
"61","-4.748547554016113","-4.748547554016113","-4.748547554016113","188.73843383789062","188.73843383789062","188.73843383789062","48.95922088623047","48.95922088623047","48.95922088623047","43.75267791748047","43.75267791748047","43.75267791748047","188.77894592285156","188.77894592285156","188.77894592285156","53.09184265136719","53.09184265136719","53.09184265136719"
